id,grapheme,phoneme,example_word
1152,p,/p/,pen
1153,w,/w/,watch
1154,l,/l/,lamp
1155,w,/w/,watch
1156,z,/z/,zebra
1157,ee,/iː/,tree
1158,x,/ks/,box
1159,m,/m/,man
1160,ph,/f/,phone
1161,ch,/ʧ/,chair
1162,y,/j/,yak
1163,j,/ʤ/,jam
1164,ee,/iː/,tree
1165,u,/ʌ/,umbrella
1166,str,/str/,street
1167,cr,/kr/,crab
1168,ph,/f/,phone
1169,x,/ks/,box
1170,t,/t/,top
1171,wh,/w/,what
1172,str,/str/,street
1173,j,/ʤ/,jam
1174,th,/θ/,think
1175,h,/h/,hat
1176,ch,/ʧ/,chair
1177,oo,/uː/,moon
1178,m,/m/,man
1179,q,/kw/,queen
1180,b,/b/,ball
1181,d,/d/,dog
1182,g,/g/,goat
1183,ph,/f/,phone
1184,ph,/f/,phone
1185,h,/h/,hat
1186,m,/m/,man
1187,sh,/ʃ/,ship
1188,ph,/f/,phone
1189,ai,/eɪ/,rain
1190,d,/d/,dog
1191,w,/w/,watch
1192,n,/n/,net
1193,oa,/oʊ/,boat
1194,oa,/oʊ/,boat
1195,l,/l/,lamp
1196,b,/b/,ball
1197,b,/b/,ball
1198,y,/j/,yak
1199,r,/r/,rat
1200,z,/z/,zebra
1201,j,/ʤ/,jam
1202,th,/θ/,think
1203,ee,/iː/,tree
1204,l,/l/,lamp
1205,d,/d/,dog
1206,bl,/bl/,blue
1207,ee,/iː/,tree
1208,k,/k/,kite
1209,t,/t/,top
1210,x,/ks/,box
1211,a,/æ/,apple
1212,c,/k/,cat
1213,z,/z/,zebra
1214,ai,/eɪ/,rain
1215,c,/k/,cat
1216,g,/g/,goat
1217,a,/æ/,apple
1218,bl,/bl/,blue
1219,k,/k/,kite
1220,y,/j/,yak
1221,x,/ks/,box
1222,ch,/ʧ/,chair
1223,t,/t/,top
1224,str,/str/,street
1225,bl,/bl/,blue
1226,t,/t/,top
1227,wh,/w/,what
1228,v,/v/,van
1229,l,/l/,lamp
1230,ch,/ʧ/,chair
1231,q,/kw/,queen
1232,z,/z/,zebra
1233,wh,/w/,what
1234,u,/ʌ/,umbrella
1235,d,/d/,dog
1236,u,/ʌ/,umbrella
1237,e,/ɛ/,egg
1238,bl,/bl/,blue
1239,o,/ɒ/,orange
1240,ch,/ʧ/,chair
1241,ai,/eɪ/,rain
1242,j,/ʤ/,jam
1243,oa,/oʊ/,boat
1244,x,/ks/,box
1245,k,/k/,kite
1246,sh,/ʃ/,ship
1247,u,/ʌ/,umbrella
1248,ai,/eɪ/,rain
1249,y,/j/,yak
1250,u,/ʌ/,umbrella
1251,s,/s/,sun
1252,wh,/w/,what
1253,c,/k/,cat
1254,bl,/bl/,blue
1255,k,/k/,kite
1256,ee,/iː/,tree
1257,ee,/iː/,tree
1258,ch,/ʧ/,chair
1259,g,/g/,goat
1260,k,/k/,kite
1261,v,/v/,van
1262,y,/j/,yak
1263,n,/n/,net
1264,p,/p/,pen
1265,y,/j/,yak
1266,a,/æ/,apple
1267,oa,/oʊ/,boat
1268,ee,/iː/,tree
1269,u,/ʌ/,umbrella
1270,v,/v/,van
1271,e,/ɛ/,egg
1272,g,/g/,goat
1273,bl,/bl/,blue
1274,i,/ɪ/,ink
1275,x,/ks/,box
1276,l,/l/,lamp
1277,ch,/ʧ/,chair
1278,v,/v/,van
1279,r,/r/,rat
1280,u,/ʌ/,umbrella
1281,k,/k/,kite
1282,y,/j/,yak
1283,oa,/oʊ/,boat
1284,sh,/ʃ/,ship
1285,w,/w/,watch
1286,a,/æ/,apple
1287,y,/j/,yak
1288,h,/h/,hat
1289,d,/d/,dog
1290,o,/ɒ/,orange
1291,n,/n/,net
1292,oa,/oʊ/,boat
1293,e,/ɛ/,egg
1294,h,/h/,hat
1295,m,/m/,man
1296,h,/h/,hat
1297,l,/l/,lamp
1298,e,/ɛ/,egg
1299,r,/r/,rat
1300,ph,/f/,phone
1301,sh,/ʃ/,ship
1302,w,/w/,watch
1303,wh,/w/,what
1304,k,/k/,kite
1305,str,/str/,street
1306,f,/f/,fish
1307,t,/t/,top
1308,s,/s/,sun
1309,k,/k/,kite
1310,u,/ʌ/,umbrella
1311,f,/f/,fish
1312,n,/n/,net
1313,bl,/bl/,blue
1314,ch,/ʧ/,chair
1315,v,/v/,van
1316,bl,/bl/,blue
1317,oa,/oʊ/,boat
1318,ph,/f/,phone
1319,k,/k/,kite
1320,wh,/w/,what
1321,n,/n/,net
1322,g,/g/,goat
1323,d,/d/,dog
1324,w,/w/,watch
1325,w,/w/,watch
1326,b,/b/,ball
1327,y,/j/,yak
1328,h,/h/,hat
1329,v,/v/,van
1330,i,/ɪ/,ink
1331,o,/ɒ/,orange
1332,oo,/uː/,moon
1333,ch,/ʧ/,chair
1334,q,/kw/,queen
1335,sh,/ʃ/,ship
1336,r,/r/,rat
1337,ch,/ʧ/,chair
1338,z,/z/,zebra
1339,r,/r/,rat
1340,b,/b/,ball
1341,p,/p/,pen
1342,k,/k/,kite
1343,ph,/f/,phone
1344,b,/b/,ball
1345,p,/p/,pen
1346,p,/p/,pen
1347,bl,/bl/,blue
1348,z,/z/,zebra
1349,k,/k/,kite
1350,b,/b/,ball
1351,h,/h/,hat
1352,p,/p/,pen
1353,ai,/eɪ/,rain
1354,sh,/ʃ/,ship
1355,x,/ks/,box
1356,cr,/kr/,crab
1357,z,/z/,zebra
1358,oa,/oʊ/,boat
1359,str,/str/,street
1360,cr,/kr/,crab
1361,e,/ɛ/,egg
1362,t,/t/,top
1363,b,/b/,ball
1364,j,/ʤ/,jam
1365,j,/ʤ/,jam
1366,c,/k/,cat
1367,r,/r/,rat
1368,u,/ʌ/,umbrella
1369,j,/ʤ/,jam
1370,a,/æ/,apple
1371,u,/ʌ/,umbrella
1372,sh,/ʃ/,ship
1373,l,/l/,lamp
1374,oo,/uː/,moon
1375,i,/ɪ/,ink
1376,ai,/eɪ/,rain
1377,l,/l/,lamp
1378,oo,/uː/,moon
1379,c,/k/,cat
1380,ph,/f/,phone
1381,d,/d/,dog
1382,s,/s/,sun
1383,y,/j/,yak
1384,d,/d/,dog
1385,h,/h/,hat
1386,l,/l/,lamp
1387,s,/s/,sun
1388,e,/ɛ/,egg
1389,cr,/kr/,crab
1390,k,/k/,kite
1391,bl,/bl/,blue
1392,i,/ɪ/,ink
1393,n,/n/,net
1394,n,/n/,net
1395,ai,/eɪ/,rain
1396,sh,/ʃ/,ship
1397,s,/s/,sun
1398,i,/ɪ/,ink
1399,f,/f/,fish
1400,l,/l/,lamp
1401,str,/str/,street
1402,h,/h/,hat
1403,u,/ʌ/,umbrella
1404,w,/w/,watch
1405,b,/b/,ball
1406,u,/ʌ/,umbrella
1407,b,/b/,ball
1408,i,/ɪ/,ink
1409,q,/kw/,queen
1410,r,/r/,rat
1411,h,/h/,hat
1412,str,/str/,street
1413,p,/p/,pen
1414,ph,/f/,phone
1415,cr,/kr/,crab
1416,ch,/ʧ/,chair
1417,h,/h/,hat
1418,ch,/ʧ/,chair
1419,v,/v/,van
1420,k,/k/,kite
1421,n,/n/,net
1422,b,/b/,ball
1423,w,/w/,watch
1424,u,/ʌ/,umbrella
1425,a,/æ/,apple
1426,f,/f/,fish
1427,d,/d/,dog
1428,c,/k/,cat
1429,d,/d/,dog
1430,b,/b/,ball
1431,a,/æ/,apple
1432,y,/j/,yak
1433,p,/p/,pen
1434,r,/r/,rat
1435,e,/ɛ/,egg
1436,w,/w/,watch
1437,l,/l/,lamp
1438,y,/j/,yak
1439,f,/f/,fish
1440,i,/ɪ/,ink
1441,v,/v/,van
1442,u,/ʌ/,umbrella
1443,j,/ʤ/,jam
1444,cr,/kr/,crab
1445,r,/r/,rat
1446,str,/str/,street
1447,d,/d/,dog
1448,c,/k/,cat
1449,th,/θ/,think
1450,b,/b/,ball
1451,a,/æ/,apple
1452,q,/kw/,queen
1453,i,/ɪ/,ink
1454,e,/ɛ/,egg
1455,v,/v/,van
1456,ch,/ʧ/,chair
1457,o,/ɒ/,orange
1458,sh,/ʃ/,ship
1459,ai,/eɪ/,rain
1460,wh,/w/,what
1461,s,/s/,sun
1462,a,/æ/,apple
1463,ch,/ʧ/,chair
1464,d,/d/,dog
1465,y,/j/,yak
1466,h,/h/,hat
1467,l,/l/,lamp
1468,u,/ʌ/,umbrella
1469,q,/kw/,queen
1470,u,/ʌ/,umbrella
1471,q,/kw/,queen
1472,h,/h/,hat
1473,i,/ɪ/,ink
1474,q,/kw/,queen
1475,o,/ɒ/,orange
1476,p,/p/,pen
1477,w,/w/,watch
1478,str,/str/,street
1479,bl,/bl/,blue
1480,c,/k/,cat
1481,wh,/w/,what
1482,oo,/uː/,moon
1483,s,/s/,sun
1484,f,/f/,fish
1485,f,/f/,fish
1486,ee,/iː/,tree
1487,d,/d/,dog
1488,l,/l/,lamp
1489,w,/w/,watch
1490,th,/θ/,think
1491,ai,/eɪ/,rain
1492,m,/m/,man
1493,w,/w/,watch
1494,oo,/uː/,moon
1495,oa,/oʊ/,boat
1496,cr,/kr/,crab
1497,l,/l/,lamp
1498,k,/k/,kite
1499,l,/l/,lamp
1500,ch,/ʧ/,chair
1501,ch,/ʧ/,chair
1502,e,/ɛ/,egg
1503,o,/ɒ/,orange
1504,ee,/iː/,tree
1505,str,/str/,street
1506,o,/ɒ/,orange
1507,wh,/w/,what
1508,ee,/iː/,tree
1509,th,/θ/,think
1510,g,/g/,goat
1511,q,/kw/,queen
1512,a,/æ/,apple
1513,th,/θ/,think
1514,ch,/ʧ/,chair
1515,y,/j/,yak
1516,o,/ɒ/,orange
1517,oa,/oʊ/,boat
1518,oo,/uː/,moon
1519,ai,/eɪ/,rain
1520,ph,/f/,phone
1521,h,/h/,hat
1522,f,/f/,fish
1523,d,/d/,dog
1524,y,/j/,yak
1525,a,/æ/,apple
1526,d,/d/,dog
1527,ee,/iː/,tree
1528,n,/n/,net
1529,th,/θ/,think
1530,oo,/uː/,moon
1531,m,/m/,man
1532,z,/z/,zebra
1533,str,/str/,street
1534,q,/kw/,queen
1535,b,/b/,ball
1536,k,/k/,kite
1537,r,/r/,rat
1538,f,/f/,fish
1539,w,/w/,watch
1540,ph,/f/,phone
1541,f,/f/,fish
1542,sh,/ʃ/,ship
1543,oo,/uː/,moon
1544,sh,/ʃ/,ship
1545,z,/z/,zebra
1546,a,/æ/,apple
1547,v,/v/,van
1548,k,/k/,kite
1549,ph,/f/,phone
1550,b,/b/,ball
1551,cr,/kr/,crab
1552,ph,/f/,phone
1553,j,/ʤ/,jam
1554,th,/θ/,think
1555,t,/t/,top
1556,oo,/uː/,moon
1557,c,/k/,cat
1558,u,/ʌ/,umbrella
1559,v,/v/,van
1560,n,/n/,net
1561,wh,/w/,what
1562,a,/æ/,apple
1563,g,/g/,goat
1564,str,/str/,street
1565,ee,/iː/,tree
1566,b,/b/,ball
1567,wh,/w/,what
1568,ph,/f/,phone
1569,t,/t/,top
1570,i,/ɪ/,ink
1571,ee,/iː/,tree
1572,bl,/bl/,blue
1573,w,/w/,watch
1574,c,/k/,cat
1575,c,/k/,cat
1576,b,/b/,ball
1577,t,/t/,top
1578,b,/b/,ball
1579,k,/k/,kite
1580,m,/m/,man
1581,b,/b/,ball
1582,oa,/oʊ/,boat
1583,oo,/uː/,moon
1584,t,/t/,top
1585,wh,/w/,what
1586,w,/w/,watch
1587,oa,/oʊ/,boat
1588,n,/n/,net
1589,th,/θ/,think
1590,ai,/eɪ/,rain
1591,y,/j/,yak
1592,q,/kw/,queen
1593,ai,/eɪ/,rain
1594,v,/v/,van
1595,ch,/ʧ/,chair
1596,ch,/ʧ/,chair
1597,r,/r/,rat
1598,ai,/eɪ/,rain
1599,s,/s/,sun
1600,str,/str/,street
1601,str,/str/,street
1602,d,/d/,dog
1603,r,/r/,rat
1604,oa,/oʊ/,boat
1605,z,/z/,zebra
1606,m,/m/,man
1607,v,/v/,van
1608,y,/j/,yak
1609,bl,/bl/,blue
1610,y,/j/,yak
1611,b,/b/,ball
1612,ch,/ʧ/,chair
1613,q,/kw/,queen
1614,ai,/eɪ/,rain
1615,u,/ʌ/,umbrella
1616,oo,/uː/,moon
1617,x,/ks/,box
1618,f,/f/,fish
1619,bl,/bl/,blue
1620,a,/æ/,apple
1621,q,/kw/,queen
1622,b,/b/,ball
1623,c,/k/,cat
1624,w,/w/,watch
1625,v,/v/,van
1626,x,/ks/,box
1627,th,/θ/,think
1628,z,/z/,zebra
1629,c,/k/,cat
1630,p,/p/,pen
1631,n,/n/,net
1632,i,/ɪ/,ink
1633,cr,/kr/,crab
1634,ph,/f/,phone
1635,r,/r/,rat
1636,a,/æ/,apple
1637,j,/ʤ/,jam
1638,ch,/ʧ/,chair
1639,wh,/w/,what
1640,str,/str/,street
1641,oo,/uː/,moon
1642,ee,/iː/,tree
1643,ee,/iː/,tree
1644,c,/k/,cat
1645,s,/s/,sun
1646,v,/v/,van
1647,ai,/eɪ/,rain
1648,ch,/ʧ/,chair
1649,oo,/uː/,moon
1650,str,/str/,street
1651,oo,/uː/,moon
1652,x,/ks/,box
1653,wh,/w/,what
1654,b,/b/,ball
1655,a,/æ/,apple
1656,u,/ʌ/,umbrella
1657,ee,/iː/,tree
1658,f,/f/,fish
1659,p,/p/,pen
1660,bl,/bl/,blue
1661,str,/str/,street
1662,a,/æ/,apple
1663,q,/kw/,queen
1664,ch,/ʧ/,chair
1665,l,/l/,lamp
1666,b,/b/,ball
1667,y,/j/,yak
1668,i,/ɪ/,ink
1669,p,/p/,pen
1670,str,/str/,street
1671,d,/d/,dog
1672,ph,/f/,phone
1673,oo,/uː/,moon
1674,cr,/kr/,crab
1675,d,/d/,dog
1676,o,/ɒ/,orange
1677,l,/l/,lamp
1678,j,/ʤ/,jam
1679,y,/j/,yak
1680,bl,/bl/,blue
1681,bl,/bl/,blue
1682,i,/ɪ/,ink
1683,ch,/ʧ/,chair
1684,g,/g/,goat
1685,a,/æ/,apple
1686,o,/ɒ/,orange
1687,k,/k/,kite
1688,o,/ɒ/,orange
1689,t,/t/,top
1690,v,/v/,van
1691,k,/k/,kite
1692,w,/w/,watch
1693,ee,/iː/,tree
1694,oa,/oʊ/,boat
1695,r,/r/,rat
1696,n,/n/,net
1697,g,/g/,goat
1698,g,/g/,goat
1699,i,/ɪ/,ink
1700,cr,/kr/,crab
1701,w,/w/,watch
1702,n,/n/,net
1703,j,/ʤ/,jam
1704,n,/n/,net
1705,y,/j/,yak
1706,v,/v/,van
1707,n,/n/,net
1708,th,/θ/,think
1709,wh,/w/,what
1710,sh,/ʃ/,ship
1711,ch,/ʧ/,chair
1712,t,/t/,top
1713,cr,/kr/,crab
1714,ch,/ʧ/,chair
1715,cr,/kr/,crab
1716,p,/p/,pen
1717,ee,/iː/,tree
1718,bl,/bl/,blue
1719,r,/r/,rat
1720,g,/g/,goat
1721,j,/ʤ/,jam
1722,m,/m/,man
1723,a,/æ/,apple
1724,z,/z/,zebra
1725,t,/t/,top
1726,bl,/bl/,blue
1727,j,/ʤ/,jam
1728,g,/g/,goat
1729,l,/l/,lamp
1730,p,/p/,pen
1731,n,/n/,net
1732,c,/k/,cat
1733,oo,/uː/,moon
1734,k,/k/,kite
1735,ai,/eɪ/,rain
1736,h,/h/,hat
1737,d,/d/,dog
1738,th,/θ/,think
1739,s,/s/,sun
1740,d,/d/,dog
1741,wh,/w/,what
1742,z,/z/,zebra
1743,u,/ʌ/,umbrella
1744,e,/ɛ/,egg
1745,c,/k/,cat
1746,b,/b/,ball
1747,l,/l/,lamp
1748,e,/ɛ/,egg
1749,l,/l/,lamp
1750,s,/s/,sun
1751,str,/str/,street
1752,x,/ks/,box
1753,wh,/w/,what
1754,ee,/iː/,tree
1755,cr,/kr/,crab
1756,b,/b/,ball
1757,f,/f/,fish
1758,j,/ʤ/,jam
1759,u,/ʌ/,umbrella
1760,g,/g/,goat
1761,wh,/w/,what
1762,g,/g/,goat
1763,i,/ɪ/,ink
1764,z,/z/,zebra
1765,str,/str/,street
1766,th,/θ/,think
1767,oa,/oʊ/,boat
1768,str,/str/,street
1769,p,/p/,pen
1770,ph,/f/,phone
1771,f,/f/,fish
1772,th,/θ/,think
1773,n,/n/,net
1774,th,/θ/,think
1775,wh,/w/,what
1776,ch,/ʧ/,chair
1777,str,/str/,street
1778,f,/f/,fish
1779,e,/ɛ/,egg
1780,str,/str/,street
1781,l,/l/,lamp
1782,o,/ɒ/,orange
1783,ch,/ʧ/,chair
1784,i,/ɪ/,ink
1785,ee,/iː/,tree
1786,oa,/oʊ/,boat
1787,g,/g/,goat
1788,r,/r/,rat
1789,sh,/ʃ/,ship
1790,wh,/w/,what
1791,b,/b/,ball
1792,a,/æ/,apple
1793,f,/f/,fish
1794,sh,/ʃ/,ship
1795,y,/j/,yak
1796,n,/n/,net
1797,ai,/eɪ/,rain
1798,v,/v/,van
1799,e,/ɛ/,egg
1800,g,/g/,goat
1801,th,/θ/,think
1802,f,/f/,fish
1803,q,/kw/,queen
1804,th,/θ/,think
1805,c,/k/,cat
1806,oo,/uː/,moon
1807,f,/f/,fish
1808,s,/s/,sun
1809,g,/g/,goat
1810,c,/k/,cat
1811,f,/f/,fish
1812,b,/b/,ball
1813,x,/ks/,box
1814,t,/t/,top
1815,h,/h/,hat
1816,ee,/iː/,tree
1817,f,/f/,fish
1818,r,/r/,rat
1819,u,/ʌ/,umbrella
1820,n,/n/,net
1821,y,/j/,yak
1822,c,/k/,cat
1823,p,/p/,pen
1824,oa,/oʊ/,boat
1825,w,/w/,watch
1826,y,/j/,yak
1827,k,/k/,kite
1828,t,/t/,top
1829,b,/b/,ball
1830,bl,/bl/,blue
1831,u,/ʌ/,umbrella
1832,m,/m/,man
1833,r,/r/,rat
1834,oa,/oʊ/,boat
1835,n,/n/,net
1836,r,/r/,rat
1837,i,/ɪ/,ink
1838,oo,/uː/,moon
1839,h,/h/,hat
1840,wh,/w/,what
1841,oo,/uː/,moon
1842,ch,/ʧ/,chair
1843,l,/l/,lamp
1844,oo,/uː/,moon
1845,n,/n/,net
1846,p,/p/,pen
1847,a,/æ/,apple
1848,a,/æ/,apple
1849,o,/ɒ/,orange
1850,e,/ɛ/,egg
1851,l,/l/,lamp
1852,l,/l/,lamp
1853,oa,/oʊ/,boat
1854,b,/b/,ball
1855,th,/θ/,think
1856,n,/n/,net
1857,ee,/iː/,tree
1858,str,/str/,street
1859,a,/æ/,apple
1860,y,/j/,yak
1861,j,/ʤ/,jam
1862,k,/k/,kite
1863,wh,/w/,what
1864,oa,/oʊ/,boat
1865,p,/p/,pen
1866,x,/ks/,box
1867,k,/k/,kite
1868,p,/p/,pen
1869,wh,/w/,what
1870,ee,/iː/,tree
1871,oa,/oʊ/,boat
1872,oo,/uː/,moon
1873,c,/k/,cat
1874,u,/ʌ/,umbrella
1875,g,/g/,goat
1876,y,/j/,yak
1877,k,/k/,kite
1878,n,/n/,net
1879,bl,/bl/,blue
1880,str,/str/,street
1881,ph,/f/,phone
1882,s,/s/,sun
1883,b,/b/,ball
1884,ch,/ʧ/,chair
1885,q,/kw/,queen
1886,oa,/oʊ/,boat
1887,ee,/iː/,tree
1888,th,/θ/,think
1889,wh,/w/,what
1890,y,/j/,yak
1891,m,/m/,man
1892,m,/m/,man
1893,b,/b/,ball
1894,ai,/eɪ/,rain
1895,w,/w/,watch
1896,sh,/ʃ/,ship
1897,oo,/uː/,moon
1898,g,/g/,goat
1899,z,/z/,zebra
1900,w,/w/,watch
1901,l,/l/,lamp
1902,s,/s/,sun
1903,m,/m/,man
1904,ph,/f/,phone
1905,wh,/w/,what
1906,l,/l/,lamp
1907,str,/str/,street
1908,b,/b/,ball
1909,z,/z/,zebra
1910,j,/ʤ/,jam
1911,ch,/ʧ/,chair
1912,j,/ʤ/,jam
1913,i,/ɪ/,ink
1914,bl,/bl/,blue
1915,u,/ʌ/,umbrella
1916,r,/r/,rat
1917,x,/ks/,box
1918,d,/d/,dog
1919,a,/æ/,apple
1920,wh,/w/,what
1921,v,/v/,van
1922,k,/k/,kite
1923,ch,/ʧ/,chair
1924,z,/z/,zebra
1925,r,/r/,rat
1926,l,/l/,lamp
1927,g,/g/,goat
1928,z,/z/,zebra
1929,w,/w/,watch
1930,ee,/iː/,tree
1931,k,/k/,kite
1932,sh,/ʃ/,ship
1933,oa,/oʊ/,boat
1934,g,/g/,goat
1935,v,/v/,van
1936,th,/θ/,think
1937,b,/b/,ball
1938,o,/ɒ/,orange
1939,v,/v/,van
1940,th,/θ/,think
1941,q,/kw/,queen
1942,u,/ʌ/,umbrella
1943,ch,/ʧ/,chair
1944,th,/θ/,think
1945,l,/l/,lamp
1946,str,/str/,street
1947,x,/ks/,box
1948,cr,/kr/,crab
1949,d,/d/,dog
1950,ai,/eɪ/,rain
1951,th,/θ/,think
1952,x,/ks/,box
1953,m,/m/,man
1954,h,/h/,hat
1955,d,/d/,dog
1956,q,/kw/,queen
1957,wh,/w/,what
1958,i,/ɪ/,ink
1959,sh,/ʃ/,ship
1960,r,/r/,rat
1961,k,/k/,kite
1962,ee,/iː/,tree
1963,i,/ɪ/,ink
1964,oa,/oʊ/,boat
1965,ee,/iː/,tree
1966,v,/v/,van
1967,ai,/eɪ/,rain
1968,th,/θ/,think
1969,k,/k/,kite
1970,u,/ʌ/,umbrella
1971,x,/ks/,box
1972,cr,/kr/,crab
1973,p,/p/,pen
1974,v,/v/,van
1975,l,/l/,lamp
1976,r,/r/,rat
1977,v,/v/,van
1978,r,/r/,rat
1979,o,/ɒ/,orange
1980,r,/r/,rat
1981,v,/v/,van
1982,ai,/eɪ/,rain
1983,w,/w/,watch
1984,e,/ɛ/,egg
1985,th,/θ/,think
1986,p,/p/,pen
1987,f,/f/,fish
1988,bl,/bl/,blue
1989,q,/kw/,queen
1990,k,/k/,kite
1991,s,/s/,sun
1992,x,/ks/,box
1993,p,/p/,pen
1994,y,/j/,yak
1995,ch,/ʧ/,chair
1996,j,/ʤ/,jam
1997,o,/ɒ/,orange
1998,k,/k/,kite
1999,b,/b/,ball
2000,cr,/kr/,crab
